"","chlorides","sulphates","nitrates","phosphates","ammonium","calcium","LCBDall","LCBDrepl","LCBDnest","Beta.sorensenall","Beta.sorensen.turn","Beta.sorensen.nest","TaxaS","Dominance_D","Simpson_1.D","Shannon_H"
"K11 BW22",-0.919108723,-0.479447283,-1.255276293,-0.42439897,1.310930822,-1.246987972,-0.147854603,0.105309792,-0.446616934,-0.451265844,-0.21470048,-0.31247653,-0.936162582,-0.444394904,-0.444383142,-0.613194601
"K21 BW22",-0.921201304,-0.490358558,-1.254588694,-0.079697042,1.573087935,-1.22401532,-0.022535337,0.497272564,-0.948118325,0.253848168,0.823643427,-0.750910361,-1.077337902,-1.091567214,-1.091555212,-0.979279267
"K31 BW22",-0.915565835,-0.48710103,-1.220208734,-0.148637427,1.585224839,-1.212486919,-0.662595705,-0.411801019,-0.38531295,-0.309408581,0.131414159,-0.581593684,0.052064657,-0.502086345,-0.502074563,-0.424605531
"K41 BW22",-0.902678843,-0.451945681,-0.998801802,0.196064501,1.672610543,-1.218259534,-0.35646448,0.172164508,-0.927291669,0.009770241,0.823643427,-1.073025022,-1.077337902,-0.812820447,-0.812808548,-1.166019425
"WS1 BW22",1.592342273,0.985733666,-0.156836616,-0.42439897,-0.62854634,-0.804852764,-0.495553376,-0.016819168,-0.820651242,-0.266851405,0.230304055,-0.655809848,-0.794987262,-0.642030931,-0.642019097,-1.136436826
"WB1 BW22",1.612770849,0.992782033,-0.623028854,0.196064501,-0.464698145,-0.826925023,-0.272283238,-0.025014036,-0.422064483,0.009770241,0.131414159,-0.160366829,0.899116576,-0.576342656,-0.576330846,-0.232318636
"WP1 BW22",1.699809842,0.985272424,-0.937949275,-0.700160512,-1.018140939,-0.832983744,-0.288657379,-0.119522677,-0.277361676,-0.669210171,-0.560815118,-0.143773038,-1.077337902,-0.410693963,-0.410682214,-0.531842454
"WK1 BW22",1.684333021,0.997437702,-0.780489065,2.471097226,-0.143070205,-0.837578276,0.242184511,0.347840233,-0.220025103,-0.820094705,-1.253044386,0.569759732,0.757941256,-0.860801447,-0.860789531,-0.737071736
"BW12 BW22",-1.243852635,-1.349826832,-1.288624853,-1.113802826,-1.009645107,-1.339871541,-2.004289832,-1.485629195,-0.726684461,-1.698775237,-1.253044386,-0.589853036,-0.936162582,-1.064720701,-1.064708709,-1.108703139
"BW11 BW32",-1.240496216,-1.30684477,-1.228803724,0.333945273,-1.027850462,-0.264280159,-0.569995608,-0.033119266,-0.918741113,-0.466381776,0.107544177,-0.757283468,-0.794987262,-0.914494472,-0.914482536,-1.125343351
"BW21 BW32",-1.239646752,-1.308300567,-1.226740927,-0.975922055,-0.990226061,-0.262959021,-0.595276519,-0.08439087,-0.868411929,-0.508895351,-0.178895516,-0.435737835,-0.936162582,-0.406124344,-0.406112596,-0.444943568
"BW31 BW32",-1.240516934,-1.306686218,-1.228459925,-0.700160512,-0.968379636,-0.285544589,-1.717431804,-1.181146233,-0.790665277,-1.185797905,-0.465335217,-0.951408386,-1.218513222,-0.785973934,-0.785962046,-0.851704308
"BW41 BW32",-1.242050114,-1.309943745,-1.233616919,-0.010756656,-1.067902243,-0.277028719,-0.496751348,-0.706743092,0.439007214,-0.397026303,-0.309095377,-0.116442094,0.334415297,0.567775735,0.56778712,0.697684328
"O11 BW32",0.243103208,1.866260557,0.381553535,2.26427607,1.329136177,-0.323436843,-0.943873019,-0.479966077,-0.743916554,-1.277951229,-0.465335217,-1.073025022,-1.077337902,-0.923633711,-0.923621771,-1.182659637
"O21 BW32",0.227895729,1.884364337,0.245065099,1.505931827,1.023286211,-0.330639991,-0.890980066,-0.321251004,-0.943295614,-0.768228146,-0.465335217,-0.400332987,-0.512636622,-0.929345734,-0.929333793,-0.86094887
"O31 BW32",0.246915438,1.895895406,0.41834009,1.161229899,1.444436759,-0.358745727,0.077086146,0.165017798,-0.16933905,0.253848168,0.446063828,-0.253096804,0.334415297,-0.976184331,-0.976172372,-0.302577309
"O41 BW32",0.226466143,1.88767952,0.325514202,0.402885658,1.365546887,-0.361068236,1.242281589,0.991609282,0.320930915,2.183226052,1.782114722,0.531648736,1.322642535,-0.852233412,-0.852221499,-0.006751317
